No,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Zeta_in_Water (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Cell_Viability (%)
2154,Polystyrene,O,Sphere,NH2,Commercial,Positive,50.0,61.45,36.6,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,5.0,CCK-8,TetrazoliumSalt,77.165
2155,Polystyrene,O,Sphere,NH2,Commercial,Positive,100.0,99.33,45.8,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,5.0,CCK-8,TetrazoliumSalt,90.551
2156,Polystyrene,O,Sphere,NH2,Commercial,Positive,500.0,450.2,37.9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,5.0,CCK-8,TetrazoliumSalt,109.13
2157,Polystyrene,O,Sphere,NH2,Commercial,Positive,50.0,61.45,36.6,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,43.937
2158,Polystyrene,O,Sphere,NH2,Commercial,Positive,100.0,99.33,45.8,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,61.417
2159,Polystyrene,O,Sphere,NH2,Commercial,Positive,500.0,450.2,37.9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,58.268
2160,Polystyrene,O,Sphere,NH2,Commercial,Positive,50.0,61.45,36.6,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,7.4016
2161,Polystyrene,O,Sphere,NH2,Commercial,Positive,100.0,99.33,45.8,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,20.315
2162,Polystyrene,O,Sphere,NH2,Commercial,Positive,500.0,450.2,37.9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,20.787
2163,Polystyrene,O,Sphere,NH2,Commercial,Positive,50.0,61.45,36.6,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,CCK-8,TetrazoliumSalt,0.0
2164,Polystyrene,O,Sphere,NH2,Commercial,Positive,100.0,99.33,45.8,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,CCK-8,TetrazoliumSalt,17.638
2165,Polystyrene,O,Sphere,NH2,Commercial,Positive,500.0,450.2,37.9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,CCK-8,TetrazoliumSalt,3.8344
2166,Polystyrene,O,Sphere,NH2,Commercial,Positive,50.0,61.45,36.6,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,0.0
2167,Polystyrene,O,Sphere,NH2,Commercial,Positive,100.0,99.33,45.8,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,3.0675
2168,Polystyrene,O,Sphere,NH2,Commercial,Positive,500.0,450.2,37.9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,6.7485
2169,Polystyrene,O,Sphere,NH2,Commercial,Positive,50.0,61.45,36.6,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,0.0
2170,Polystyrene,O,Sphere,NH2,Commercial,Positive,100.0,99.33,45.8,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,0.46012
2171,Polystyrene,O,Sphere,NH2,Commercial,Positive,500.0,450.2,37.9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,0.92025
2172,Polystyrene,O,Sphere,COOH,Commercial,Negative,50.0,57.14,-9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,5.0,CCK-8,TetrazoliumSalt,102.43
2173,Polystyrene,O,Sphere,COOH,Commercial,Negative,100.0,124.4,-34,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,5.0,CCK-8,TetrazoliumSalt,97.568
2174,Polystyrene,O,Sphere,COOH,Commercial,Negative,500.0,465.3,-38.5,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,5.0,CCK-8,TetrazoliumSalt,110.49
2175,Polystyrene,O,Sphere,COOH,Commercial,Negative,50.0,57.14,-9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,89.818
2176,Polystyrene,O,Sphere,COOH,Commercial,Negative,100.0,124.4,-34,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,84.498
2177,Polystyrene,O,Sphere,COOH,Commercial,Negative,500.0,465.3,-38.5,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,5.0,CCK-8,TetrazoliumSalt,86.93
2178,Polystyrene,O,Sphere,COOH,Commercial,Negative,50.0,57.14,-9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,113.83
2179,Polystyrene,O,Sphere,COOH,Commercial,Negative,100.0,124.4,-34,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,91.033
2180,Polystyrene,O,Sphere,COOH,Commercial,Negative,500.0,465.3,-38.5,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,5.0,CCK-8,TetrazoliumSalt,99.088
2181,Polystyrene,O,Sphere,COOH,Commercial,Negative,50.0,57.14,-9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,CCK-8,TetrazoliumSalt,117.37
2182,Polystyrene,O,Sphere,COOH,Commercial,Negative,100.0,124.4,-34,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,CCK-8,TetrazoliumSalt,83.234
2183,Polystyrene,O,Sphere,COOH,Commercial,Negative,500.0,465.3,-38.5,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,24,50.0,CCK-8,TetrazoliumSalt,85.629
2184,Polystyrene,O,Sphere,COOH,Commercial,Negative,50.0,57.14,-9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,106.89
2185,Polystyrene,O,Sphere,COOH,Commercial,Negative,100.0,124.4,-34,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,66.467
2186,Polystyrene,O,Sphere,COOH,Commercial,Negative,500.0,465.3,-38.5,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,48,50.0,CCK-8,TetrazoliumSalt,66.916
2187,Polystyrene,O,Sphere,COOH,Commercial,Negative,50.0,57.14,-9,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,110.03
2188,Polystyrene,O,Sphere,COOH,Commercial,Negative,100.0,124.4,-34,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,54.641
2189,Polystyrene,O,Sphere,COOH,Commercial,Negative,500.0,465.3,-38.5,NIH3T3,5000.0,A,Mouse,Embryo,Fibroblast,Embryonic,L,72,50.0,CCK-8,TetrazoliumSalt,57.036
2232,Au,I,Sphere,Citrate,Chemical Reduction,Negative,14.5,4.9,-158,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,15.0,MTT,TetrazoliumSalt,71.03
2233,Au,I,Sphere,CyA,Chemical Reduction,Positive,6.5,8.0,88,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,15.0,MTT,TetrazoliumSalt,75.567
2234,Au,I,Sphere,GSH,Chemical Reduction,Negative,3.8,3.6,-140,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,15.0,MTT,TetrazoliumSalt,72.251
2235,Au,I,Sphere,Citrate,Chemical Reduction,Negative,7.0,6.9,-99,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,15.0,MTT,TetrazoliumSalt,83.072
2236,Au,I,Sphere,Citrate,Chemical Reduction,Negative,14.5,4.9,-158,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,1.5,MTT,TetrazoliumSalt,87.053
2237,Au,I,Sphere,CyA,Chemical Reduction,Positive,6.5,8.0,88,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,1.5,MTT,TetrazoliumSalt,99.319
2238,Au,I,Sphere,GSH,Chemical Reduction,Negative,3.8,3.6,-140,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,1.5,MTT,TetrazoliumSalt,102.21
2239,Au,I,Sphere,Citrate,Chemical Reduction,Negative,7.0,6.9,-99,PBMC,500000.0,H,Human,Blood,Lymphoblast,Adult,P,24,1.5,MTT,TetrazoliumSalt,85.349
2240,Au,I,Sphere,Citrate,Chemical Reduction,Negative,14.5,4.9,-158,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,15.0,MTT,TetrazoliumSalt,93.309
2241,Au,I,Sphere,CyA,Chemical Reduction,Positive,6.5,8.0,88,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,15.0,MTT,TetrazoliumSalt,83.457
2242,Au,I,Sphere,GSH,Chemical Reduction,Negative,3.8,3.6,-140,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,15.0,MTT,TetrazoliumSalt,47.026
2243,Au,I,Sphere,Citrate,Chemical Reduction,Negative,7.0,6.9,-99,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,15.0,MTT,TetrazoliumSalt,56.506
2244,Au,I,Sphere,Citrate,Chemical Reduction,Negative,14.5,4.9,-158,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,1.5,MTT,TetrazoliumSalt,99.13
2245,Au,I,Sphere,CyA,Chemical Reduction,Positive,6.5,8.0,88,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,1.5,MTT,TetrazoliumSalt,94.261
2246,Au,I,Sphere,GSH,Chemical Reduction,Negative,3.8,3.6,-140,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,1.5,MTT,TetrazoliumSalt,89.391
2247,Au,I,Sphere,Citrate,Chemical Reduction,Negative,7.0,6.9,-99,Jurkat,500000.0,H,Human,Blood,Lymphoblast,Adult,L,24,1.5,MTT,TetrazoliumSalt,89.391
2302,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,25.0,MTT,TetrazoliumSalt,92.269
2303,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,50.0,MTT,TetrazoliumSalt,81.345
2304,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,100.0,MTT,TetrazoliumSalt,76.975
2305,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,24,200.0,MTT,TetrazoliumSalt,67.563
2306,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,48,25.0,MTT,TetrazoliumSalt,90.588
2307,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,48,50.0,MTT,TetrazoliumSalt,74.286
2308,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,48,100.0,MTT,TetrazoliumSalt,60.168
2309,Ag,I,Sphere,None,Commercial,Negative,65.0,182.7,-30,A549,5000.0,H,Human,Lung,Epithelial,Adult,L,48,200.0,MTT,TetrazoliumSalt,48.235
2471,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,96.919
2472,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,50.0,CellTiterGlo,LuciferaseEnzyme,87.441
2473,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,100.0,CellTiterGlo,LuciferaseEnzyme,82.227
2474,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,CellTiterGlo,LuciferaseEnzyme,78.436
2475,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,57.109
2476,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,25.0,CellTiterGlo,LuciferaseEnzyme,97.867
2477,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,50.0,CellTiterGlo,LuciferaseEnzyme,91.469
2478,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,CellTiterGlo,LuciferaseEnzyme,86.256
2479,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,200.0,CellTiterGlo,LuciferaseEnzyme,77.962
2480,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,400.0,CellTiterGlo,LuciferaseEnzyme,55.924
2481,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,25.0,CellTiterGlo,LuciferaseEnzyme,90.047
2482,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,87.441
2483,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,100.0,CellTiterGlo,LuciferaseEnzyme,77.962
2484,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,200.0,CellTiterGlo,LuciferaseEnzyme,68.483
2485,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,400.0,CellTiterGlo,LuciferaseEnzyme,43.365
2486,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,98.832
2487,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,50.0,CellTiterGlo,LuciferaseEnzyme,90.888
2488,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,100.0,CellTiterGlo,LuciferaseEnzyme,89.486
2489,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,200.0,CellTiterGlo,LuciferaseEnzyme,79.907
2490,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,54.206
2491,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,25.0,CellTiterGlo,LuciferaseEnzyme,96.262
2492,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,50.0,CellTiterGlo,LuciferaseEnzyme,89.486
2493,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,100.0,CellTiterGlo,LuciferaseEnzyme,84.112
2494,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,200.0,CellTiterGlo,LuciferaseEnzyme,78.972
2495,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,400.0,CellTiterGlo,LuciferaseEnzyme,54.673
2496,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,25.0,CellTiterGlo,LuciferaseEnzyme,98.131
2497,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,88.318
2498,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,100.0,CellTiterGlo,LuciferaseEnzyme,85.28
2499,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,200.0,CellTiterGlo,LuciferaseEnzyme,65.187
2500,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,400.0,CellTiterGlo,LuciferaseEnzyme,47.897
2501,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,98.293
2502,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,50.0,CellTiterGlo,LuciferaseEnzyme,93.902
2503,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,100.0,CellTiterGlo,LuciferaseEnzyme,87.317
2504,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,200.0,CellTiterGlo,LuciferaseEnzyme,79.268
2505,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,50.0
2506,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,48,25.0,CellTiterGlo,LuciferaseEnzyme,92.927
2507,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,48,50.0,CellTiterGlo,LuciferaseEnzyme,95.61
2508,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,48,100.0,CellTiterGlo,LuciferaseEnzyme,91.951
2509,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,48,200.0,CellTiterGlo,LuciferaseEnzyme,74.878
2510,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,48,400.0,CellTiterGlo,LuciferaseEnzyme,54.39
2511,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,72,25.0,CellTiterGlo,LuciferaseEnzyme,91.951
2512,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,76.585
2513,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,72,100.0,CellTiterGlo,LuciferaseEnzyme,70.488
2514,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,72,200.0,CellTiterGlo,LuciferaseEnzyme,70.488
2515,Pt,I,Sphere,PVP,Chemical Reduction,Negative,4.0,13.5,-8,IMR90,5000.0,H,Human,Lung,Fibroblast,Adult,L,72,400.0,CellTiterGlo,LuciferaseEnzyme,41.951
2516,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,83.575
2517,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,50.0,CellTiterGlo,LuciferaseEnzyme,77.536
2518,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,100.0,CellTiterGlo,LuciferaseEnzyme,69.324
2519,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,200.0,CellTiterGlo,LuciferaseEnzyme,50.242
2520,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,35.024
2521,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,25.0,CellTiterGlo,LuciferaseEnzyme,80.918
2522,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,50.0,CellTiterGlo,LuciferaseEnzyme,70.048
2523,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,100.0,CellTiterGlo,LuciferaseEnzyme,58.454
2524,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,200.0,CellTiterGlo,LuciferaseEnzyme,44.203
2525,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,48,400.0,CellTiterGlo,LuciferaseEnzyme,29.952
2526,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,25.0,CellTiterGlo,LuciferaseEnzyme,66.667
2527,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,54.831
2528,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,100.0,CellTiterGlo,LuciferaseEnzyme,44.928
2529,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,200.0,CellTiterGlo,LuciferaseEnzyme,31.643
2530,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,HeLa,5000.0,H,Human,Cervix,Epithelial,Adult,L,72,400.0,CellTiterGlo,LuciferaseEnzyme,19.807
2531,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,25.0,CellTiterGlo,LuciferaseEnzyme,78.385
2532,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,50.0,CellTiterGlo,LuciferaseEnzyme,64.371
2533,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,100.0,CellTiterGlo,LuciferaseEnzyme,47.506
2534,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,200.0,CellTiterGlo,LuciferaseEnzyme,34.204
2535,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,24,400.0,CellTiterGlo,LuciferaseEnzyme,19.002
2536,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,25.0,CellTiterGlo,LuciferaseEnzyme,65.321
2537,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,50.0,CellTiterGlo,LuciferaseEnzyme,50.356
2538,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,100.0,CellTiterGlo,LuciferaseEnzyme,37.53
2539,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,200.0,CellTiterGlo,LuciferaseEnzyme,26.128
2540,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,48,400.0,CellTiterGlo,LuciferaseEnzyme,16.865
2541,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,25.0,CellTiterGlo,LuciferaseEnzyme,44.893
2542,Pt,I,Sphere,FA,Chemical Reduction,Negative,12.5,91.3,-40.5,MCF-7,5000.0,H,Human,Breast,Epithelial,Adult,L,72,50.0,CellTiterGlo,LuciferaseEnzyme,34.204
